"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","295","Update exercise","LMS service","2026-07-19","passed","2026-07-19","Update entity","Exercises","",""
"","268","Get file with incorrect file id","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","21","Create file","LMS service","2026-07-19","passed","2026-07-19","Create entity","Files","",""
"","553","Login with correct email and password","LMS service","2026-07-19","passed","2026-07-19","Login","Authentication","",""
"","289","Get exercises","LMS service","2026-07-19","passed","2026-07-19","Get entities","Exercises","",""
"","13","Get file","LMS service","2026-07-19","passed","2026-07-19","Get entity","Files","",""
"","295","Get courses","LMS service","2026-07-19","passed","2026-07-19","Get entities","Courses","",""
"","291","Attempt to create user with email: example.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","296","Delete file","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Files","",""
"","27","Create exercise","LMS service","2026-07-19","passed","2026-07-19","Create entity","Exercises","",""
"","553","Attempt to create user with email: mail.ru","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","303","Update course","LMS service","2026-07-19","passed","2026-07-19","Update entity","Courses","",""
"","267","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","30","Create course","LMS service","2026-07-19","passed","2026-07-19","Create entity","Courses","",""
"","15","Get user me","LMS service","2026-07-19","passed","2026-07-19","Get entity","Users","",""
"","15","Get exercise","LMS service","2026-07-19","passed","2026-07-19","Get entity","Exercises","",""
"","563","Attempt to create user with email: gmail.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","289","Delete exercise","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Exercises","",""
"","17","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
